,name,subcorpus,mcq,5-shot,category,num_instances,average_len,whitespace,emoji,non_ascii,pattern1,pattern2,pattern3,pattern4,pattern5,pattern_unsure,pattern_unrel
46,ambiguity_resolution_mcq_0shot_nc.json,ambiguity,True,False,Shift - Calendar,5,250.08,0,0,14,0,2,0,0,0,0,0
47,ambiguity_resolution_mcq_0shot_nc.json,ambiguity,True,False,Shift - LT,5,258.16,0,1,6,0,6,0,0,1,1,0
48,ambiguity_resolution_mcq_0shot_nc.json,ambiguity,True,False,Shift - MT,5,283.8,0,0,3,2,6,1,0,1,4,0
49,ambiguity_resolution_mcq_0shot_nc.json,ambiguity,True,False,Shift - ST,5,224.6,0,3,3,2,6,0,1,0,1,1
50,ambiguity_resolution_mcq_5shot_nc.json,ambiguity,True,True,Interpretation,5,221.8,0,1,1,1,1,0,0,0,5,1
51,ambiguity_resolution_mcq_5shot_nc.json,ambiguity,True,True,Shift - Calendar,5,229.68,0,2,5,2,1,0,1,0,5,1
52,ambiguity_resolution_mcq_5shot_nc.json,ambiguity,True,True,Shift - LT,5,340.16,0,0,1,8,0,0,1,0,7,1
53,ambiguity_resolution_mcq_5shot_nc.json,ambiguity,True,True,Shift - MT,5,278.92,0,1,3,3,0,0,0,0,7,3
54,ambiguity_resolution_mcq_5shot_nc.json,ambiguity,True,True,Shift - ST,5,274.64,0,0,3,7,0,0,0,1,0,0
55,causality_mcq_0shot_nc.json,causality,True,False,Cause,5,238.64,0,4,8,0,0,0,0,0,0,0
56,causality_mcq_0shot_nc.json,causality,True,False,Effect,5,258.64,0,9,14,1,1,0,0,0,1,0
57,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Application,5,243.16,0,3,10,0,2,0,0,0,1,0
58,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Date Computation,5,230.4,0,2,11,0,1,0,0,0,0,0
59,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Hour Adjustment (12h),5,229.64,0,2,14,0,0,0,0,0,2,0
60,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Hour Adjustment (24h),5,232.76,0,2,12,0,3,0,0,0,2,0
61,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Month Shift,5,275.8,0,4,13,0,4,0,0,0,1,0
62,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Time Computation,5,201.88,0,2,6,0,2,0,0,0,0,0
63,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Time Zone Conversion,5,239.6,0,0,13,0,1,0,0,0,1,0
64,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Week Identification,5,265.2,0,2,11,0,0,0,0,0,1,0
